"Description","Amount"
"TRANSFER 128802644",1569
"PAYMENT 128802565",100
117347364,250
128802602,1568
128802579,5000
6867686,120
128802652,300
"INETBNK 106109147",1620
"TRANSFER 106111987",187
"INETBNK PAY10612111",599
"PAYMENT 105888579",1020
128802656,171
128802653,2799
128802154,249
128802568,100
128802670,449
"TRANSFER 128802644",1569
"PAYMENT 128802565",100
117347364,250
128802602,1568
128802579,5000
6867686,120
128802652,300
"INETBNK 106109147",1620
"TRANSFER 106111987",187
"INETBNK PAY10612111",599
"PAYMENT 105888579",1020
128802657,171
128802653,2799
128802154,249
128802568,100
128802670,449
"TRANSFER 128802644",300
"PAYMENT 128802565",100
117347364,250
128802602,1568
128802579,5000
6867686,120
128802652,300
"INETBNK 106109147",1620
"TRANSFER 106111987",187
"INETBNK PAY10612111",599
"PAYMENT 105888579",1020
128802657,171
128802653,2799
128802154,249
128802568,100
128802670,449


generic_more_than_15_records
